Año,Región,Mes,Provincia,Área Protegida,Total,Residentes,No residentes
2008,Patagonia,Diciembre,Santa Cruz,Bosques Petrificados,678,425,253
2008,Patagonia,Diciembre,Santa Cruz,Los Glaciares,70559,28086,42473
2008,Patagonia,Diciembre,Santa Cruz,Monte León,800,458,342
2008,Patagonia,Diciembre,Santa Cruz,Perito Moreno,301,57,244
2008,Patagonia,Diciembre,Tierra del Fuego,Tierra del Fuego,37738,14163,23575
2009,Buenos Aires,Enero,Buenos Aires,Ciervo de los Pantanos,1107,1107,0
2009,Buenos Aires,Febrero,Buenos Aires,Ciervo de los Pantanos,1074,1074,0
2009,Buenos Aires,Marzo,Buenos Aires,Ciervo de los Pantanos,1393,1393,0
2009,Buenos Aires,Abril,Buenos Aires,Ciervo de los Pantanos,1225,1225,0
2009,Buenos Aires,Mayo,Buenos Aires,Ciervo de los Pantanos,2174,2174,0
2009,Buenos Aires,Junio,Buenos Aires,Ciervo de los Pantanos,871,871,0
2009,Buenos Aires,Julio,Buenos Aires,Ciervo de los Pantanos,2067,2067,0
2009,Buenos Aires,Agosto,Buenos Aires,Ciervo de los Pantanos,2077,2077,0
2009,Buenos Aires,Septiembre,Buenos Aires,Ciervo de los Pantanos,1602,1602,0
2009,Buenos Aires,Octubre,Buenos Aires,Ciervo de los Pantanos,1751,1751,0
2009,Buenos Aires,Noviembre,Buenos Aires,Ciervo de los Pantanos,581,581,0
2009,Buenos Aires,Diciembre,Buenos Aires,Ciervo de los Pantanos,848,848,0
2009,Cuyo,Enero,San Juan,El Leoncito,1850,1757,93
2009,Cuyo,Enero,San Juan,San Guillermo,0,0,0
2009,Cuyo,Enero,San Luis,Sierra de las Quijadas,5011,4912,99
2009,Cuyo,Febrero,San Juan,El Leoncito,1430,1342,88
2009,Cuyo,Febrero,San Juan,San Guillermo,0,0,0
2009,Cuyo,Febrero,San Luis,Sierra de las Quijadas,4058,3971,87
2009,Cuyo,Marzo,San Juan,El Leoncito,645,560,85
2009,Cuyo,Marzo,San Juan,San Guillermo,0,0,0
2009,Cuyo,Marzo,San Luis,Sierra de las Quijadas,2029,1938,91
2009,Cuyo,Abril,San Juan,El Leoncito,1371,1310,61
2009,Cuyo,Abril,San Juan,San Guillermo,0,0,0
2009,Cuyo,Abril,San Luis,Sierra de las Quijadas,3470,3383,87
2009,Cuyo,Mayo,San Juan,El Leoncito,1051,1008,43
2009,Cuyo,Mayo,San Juan,San Guillermo,0,0,0
2009,Cuyo,Mayo,San Luis,Sierra de las Quijadas,2094,2050,44
2009,Cuyo,Junio,San Juan,El Leoncito,333,324,9
2009,Cuyo,Junio,San Juan,San Guillermo,0,0,0
